content_url,info,name,price,start_year,url
https://s5.xinstatic.com/www/img/default.png,由西南仓运往滨州,奔驰 A级 2011款 1.5 自动 A160,9.04万,2012年,
https://s5.xinstatic.com/www/img/default.png,由华北仓运往滨州,奔驰 C级 2013款 1.8T 自动 C180经典型CGI,13.57万,2013年,
https://s5.xinstatic.com/www/img/default.png,由华中仓运往滨州,奔驰 B级 2009款 2.0 自动 B200时尚型,9.08万,2011年,
https://s5.xinstatic.com/www/img/default.png,由华中仓运往滨州,奔驰 A级 2011款 1.5 自动 A160,9.04万,2012年,
https://s5.xinstatic.com/www/img/default.png,由华东仓运往滨州,奔驰 B级 2009款 2.0 自动 B200时尚型,9.00万,2011年,
https://s5.xinstatic.com/www/img/default.png,由华北仓运往滨州,奔驰 C级 2011款 1.6T 自动 C180K经典型,12.73万,2012年,
https://s5.xinstatic.com/www/img/default.png,由华北仓运往滨州,奔驰 C级 2011款 1.6T 自动 C180K经典型,12.87万,2012年,
https://s5.xinstatic.com/www/img/default.png,由华北仓运往滨州,奔驰 C级 2011款 1.6T 自动 C180K经典型,13.38万,2012年,
https://s5.xinstatic.com/www/img/default.png,由华北仓运往滨州,奔驰 A级 2013款 1.6T 自动 A180时尚型,12.75万,2013年,
https://s5.xinstatic.com/www/img/default.png,由华东仓运往滨州,奔驰 A级 2011款 1.5 自动 A160,7.51万,2011年,
https://s5.xinstatic.com/www/img/default.png,由华东仓运往滨州,奔驰 B级 2009款 2.0 自动 B200时尚型,9.06万,2011年,
https://s5.xinstatic.com/www/img/default.png,由华东仓运往滨州,奔驰B级2009款 2.0 自动 B200时尚型,8.95万,2011年,
https://s5.xinstatic.com/www/img/default.png,由华东仓运往滨州,奔驰 B级 2012款 1.6T 自动 B180,11.41万,2013年,
https://s5.xinstatic.com/www/img/default.png,由东北仓运往滨州,奔驰 A级 2011款 1.5 自动 A160,7.03万,2011年,
https://s5.xinstatic.com/www/img/default.png,由西北仓运往滨州,奔驰C级2010款 1.8T 自动 C200K标准型,9.93万,2010年,
https://s5.xinstatic.com/www/img/default.png,由华东仓运往滨州,奔驰 A级 2011款 1.5 自动 A160,10.00万,2012年,
https://s5.xinstatic.com/www/img/default.png,由西北仓运往滨州,奔驰 B级 2012款 1.6T 自动 B180,14.07万,2014年,
https://s5.xinstatic.com/www/img/default.png,由华北仓运往滨州,奔驰 C级 2010款 1.6T 自动 C180K经典型,9.78万,2010年,
https://s5.xinstatic.com/www/img/default.png,由华北仓运往滨州,奔驰 C级 2011款 1.8T 自动 C200时尚型CGI,14.07万,2012年,
https://s5.xinstatic.com/www/img/default.png,由东北仓运往滨州,奔驰 C级 2008款 1.8T 自动 C200K标准型,9.74万,2009年,
https://s5.xinstatic.com/www/img/default.png,由华北仓运往滨州,奔驰 C级 2013款 1.8T 自动 C180经典型Grand Edition,14.06万,2014年,
